"writerNameLabel","birthPlaceLabel","nationalityLabel","deathPlaceLabel"
"Frans Hals","Flanders","Netherlands","Dutch Republic"
"Werner Bräunig","Chemnitz","Germany","East Germany"
"Frans Hals","Spanish Netherlands","Netherlands","Dutch Republic"
"Friedrich Schlotterbeck","Kingdom of Württemberg","German people","East Germany"
"Werner Bräunig","Nazi Germany","Germany","East Germany"
"Esther Meynell","Leeds","British people","East Sussex"
"Alfredo Pareja Diezcanseco","Ecuador","Ecuadorian","Ecuador"
"Alfredo Pareja Diezcanseco","Guayaquil","Ecuadorian","Ecuador"
"Esther Meynell","Yorkshire","British people","East Sussex"
"Eduard Vilde","Pudivere, Lääne-Viru County","Estonians","Estonia"
"Eduard Vilde","Russian Empire","Estonians","Estonia"
"Oskar Luts","Russian Empire","Estonians","Estonia"
"Eduard Vilde","Governorate of Estonia","Estonians","Estonia"
"Oskar Luts","Governorate of Livonia","Estonians","Estonia"
"Eduard Vilde","Lääne-Viru County","Estonians","Estonia"
"Joseph Thomas James Hewlett","St Pancras, London","British people","Essex"
"John Carteret Pilkington","Dublin, Ireland","Kingdom of Ireland","Europe"
"Hendrik Adamson","Estonia","Estonians","Estonia"
"Oskar Luts","Järvepera","Estonians","Estonia"
"Joseph Thomas James Hewlett","Kingdom of Great Britain","British people","Essex"
"Hendrik Adamson","Kärstna","Estonians","Estonia"
"Joseph Thomas James Hewlett","Middlesex","British people","Essex"
"Eduard Vilde","Kreis Wierland","Estonians","Estonia"
"Eduard Vilde","Väike-Maarja Parish","Estonians","Estonia"
"Villem Grünthal-Ridala","Governorate of Livonia","Estonians","Finland"
"Villem Grünthal-Ridala","Muhu","Estonians","Finland"
"Villem Grünthal-Ridala","Kreis Ösel","Estonians","Finland"
"Villem Grünthal-Ridala","Kuivastu","Estonians","Finland"
"Steinbjørn B. Jacobsen","Sandvík","Faroe Islands","Faroe Islands"
"Leopoldine Kulka","Vienna","Austrians","First Austrian Republic"
"Aino Kallas","Viipuri Province","Finland","Finland"
"Aino Kallas","Grand Duchy of Finland","Finland","Finland"
"Leopoldine Kulka","Austria-Hungary","Austrians","First Austrian Republic"
"Aino Kallas","Vyborgsky District, Leningrad Oblast","Finland","Finland"
"Steinbjørn B. Jacobsen","Faroe Islands","Faroe Islands","Faroe Islands"
"Lauro Müller","Empire of Brazil","Brazilian people","First Brazilian Republic"
"Mihailo Lalić","Andrijevica","Montenegrins (ethnic group)","Federal Republic of Yugoslavia"
"Marita Lindquist","Finland","Finns","Finland"
"Marita Lindquist","Helsinki","Finns","Finland"
"Lauro Müller","Itajaí","Brazilian people","First Brazilian Republic"
"Margit Kaffka","Nagykároly","Hungarians","First Hungarian Republic"
"Margit Kaffka","Kingdom of Hungary","Hungarians","First Hungarian Republic"
"Mihailo Lalić","Kingdom of Montenegro","Montenegrins (ethnic group)","Federal Republic of Yugoslavia"
"Antranig Dzarugian","Sivas Vilayet","Armenians","France"
"Judith Cladel","France","France","France"
"Antranig Dzarugian","Ottoman Empire","Armenians","France"
"Judith Cladel","Paris","France","France"
"Antranig Dzarugian","Gürün","Armenians","France"
"Juan Montalvo","Ambato, Ecuador","Ecuadorian","France"
"Juan Montalvo","Ecuador","Ecuadorian","France"
"Vahan Malezian","Romania","Armenian people","France"
"Paul Vinogradoff","Russian Empire","Russians","France"
"Paul Vinogradoff","Russian Empire","British people","France"
"Noureddine Aba","Algeria","Algerian people","France"
"Jacques Collin de Plancy","France","France","France"
"Vahan Malezian","Sulina","Armenian people","France"
"Noureddine Aba","Sétif","Algerian people","France"
"Jacques Collin de Plancy","Plancy-l'Abbaye","France","France"
"Paul Vinogradoff","Kostroma","Russians","France"
"Paul Vinogradoff","Kostroma","British people","France"
"Georges de Peyrebrune","Sainte-Orse","France","France"
"Georgy Ivanov","Kovno Governorate","Russians","France"
"Georges de Peyrebrune","France","France","France"
"Georgy Ivanov","Seda, Lithuania","Russians","France"
"Teofil Lenartowicz","Warsaw","Poland","Florence"
"Teofil Lenartowicz","Poland","Poland","Florence"
"Antoine Sfeir","Beirut","Lebanon","France"
"Antoine Sfeir","Beirut","France","France"
"Levon Pashalian","Uskudar","Armenians","France"
"Levon Pashalian","Constantinople","Armenians","France"
"Andrei Sinyavsky","Moscow","Russians","France"
"Anna Dodas i Noguer","Folgueroles","Spain","France"
"Levon Pashalian","Ottoman Turkey","Armenians","France"
"Antoine Sfeir","Lebanon","France","France"
"Antoine Sfeir","Lebanon","Lebanon","France"
"Andrei Sinyavsky","Soviet Union","Russians","France"
"Anna Dodas i Noguer","Spain","Spain","France"
"Andrei Sinyavsky","Russian SFSR","Russians","France"
"Élise Moreau","Rochefort, Belgium","France","France"
"Louise Jordan Miln","Macomb, Illinois","Americans","France"
"Louis Racine","France","France","France"
"François-Marie Luzel","France","French people","France"
"Louis Racine","Paris","France","France"
"François-Marie Luzel","Plouaret","French people","France"
"Tibor Méray","Budapest","Hungary","France"
"Tibor Méray","Kingdom of Hungary (1920–46)","Hungary","France"
"Driss Chraïbi","El Jadida","Morocco","France"
"Driss Chraïbi","Morocco","Morocco","France"
"Cécile de Brunhoff","France","France","France"
"Cécile de Brunhoff","Paris","France","France"
"Alice Jones (author)","Halifax, Nova Scotia","Canadians","France"
"Henri-Antoine Mézière","Montreal","Canadians","France"
"Henri-Antoine Mézière","Province of Quebec (1763–1791)","Canadians","France"
"Jean-Eugène Decorde","Bois-Héroult","France","France"
"Jean-Baptiste Tati Loutard","Republic of the Congo","Republic of the Congo","France"
"Jean-Marie Déguignet","Brittany","France","France"
"Jean-Marie Déguignet","France","France","France"
"Jean-Eugène Decorde","France","France","France"
"Jean-Marie Déguignet","Guengat","France","France"
"Jean-Baptiste Tati Loutard","Pointe-Noire","Republic of the Congo","France"
"Jerzy Giedroyc","Russian Empire","Poles","France"
"Jerzy Giedroyc","Minsk","Poles","France"
"Serge Lang (skiing)","Mulhouse","France","France"
"Malek Alloula","Algeria","Algeria","France"
"Yann ar Floc'h","Finistère","French people","France"
"Serge Lang (skiing)","France","France","France"
"Yann ar Floc'h","France","French people","France"
"Valérie Valère","France","France","France"
"Valérie Valère","Paris, France","France","France"
"Yann ar Floc'h","Pleyben","French people","France"
"Malek Alloula","Oran","Algeria","France"
"Peter Phillips (author)","London","British people","Norfolk"
"Peter Phillips (author)","Isle of Dogs","British people","Norfolk"
"Gaariye","British Somaliland","Somalilander","Norway"
"Gaariye","Hargeisa","Somalilander","Norway"
"Aasmund Olavsson Vinje","Vinje","Norway","Norway"
"Arne Paasche Aasen","Steinkjer","Norway","Norway"
"Aasmund Olavsson Vinje","Norway","Norway","Norway"
"Arne Paasche Aasen","Norway","Norway","Norway"
"Aasmund Olavsson Vinje","Telemark","Norway","Norway"
"Misbahul Islam Faruqi","Meerut","Pakistan","Pakistan"
"Josh Malihabadi","Malihabad","Pakistani","Pakistan"
"Mohiuddin Nawab","British India","Pakistani","Pakistan"
"Josh Malihabadi","British India","Pakistani","Pakistan"
"Misbahul Islam Faruqi","British India","Pakistan","Pakistan"
"Mohiuddin Nawab","West Bengal","Pakistani","Pakistan"
"Mohiuddin Nawab","Kharagpur","Pakistani","Pakistan"
"Josh Malihabadi","North-Western Provinces","Pakistani","Pakistan"
"Agha Shorish Kashmiri","Punjab Province (British India)","Pakistani","Pakistan"
"Agha Shorish Kashmiri","British Raj","Pakistani","Pakistan"
"Daniel Varoujan","Ottoman Empire","Armenians","Ottoman Empire"
"Agha Shorish Kashmiri","Lahore","Pakistani","Pakistan"
"Daniel Varoujan","Vilayet of Sebastia","Armenians","Ottoman Empire"
"Atta Shad","British India","Balochistan","Pakistan"
"Atta Shad","Balochistan","Balochistan","Pakistan"
"Atta Shad","Kech District","Balochistan","Pakistan"
"Ilias Tantalidis","Constantinople","Ottoman Greek","Ottoman Empire"
"Ziya Pasha","Constantinople","Ottoman Empire","Ottoman Empire"
"Ziya Pasha","Turkey","Ottoman Empire","Ottoman Empire"
"Ziya Pasha","Ottoman Empire","Ottoman Empire","Ottoman Empire"
"Ilias Tantalidis","Ottoman Empire","Ottoman Greek","Ottoman Empire"
"Ziya Pasha","Istanbul","Ottoman Empire","Ottoman Empire"
"Syed Ali Ausat Zaidi","Meerut","Pakistani people","Pakistan"
"Ilyas Sitapuri","Sitapur","Pakistani","Pakistan"
"Nasir Kazmi","British India","Pakistani","Pakistan"
"Ilyas Sitapuri","British India","Pakistani","Pakistan"
"Nasir Kazmi","Ambala","Pakistani","Pakistan"
"Ilyas Sitapuri","United Provinces of British India","Pakistani","Pakistan"
"Nasir Kazmi","Punjab (British India)","Pakistani","Pakistan"
"Masaccio","San Giovanni Valdarno","Italy","Papal States"
"Masaccio","Republic of Florence","Italy","Papal States"
"Giovanni Vincenzo Gravina","Roggiano Gravina","Italy","Papal States"
"Girolamo Graziani","Pergola, Marche","Italy","Papal States"
"Girolamo Aleandro, the younger","Republic of Venice","Italy","Papal States"
"Gabriel Fabricy","Saint-Maximin, Gard","France","Papal States"
"Girolamo Aleandro, the younger","Motta di Livenza","Italy","Papal States"
"Giovanni Mario Crescimbeni","Macerata","Italy","Papal States"
"Girolamo Graziani","Duchy of Urbino","Italy","Papal States"
"Giovanni Mario Crescimbeni","Papal States","Italy","Papal States"
"Gabriel Fabricy","Kingdom of France","France","Papal States"
"Giovanni Vincenzo Gravina","Kingdom of Naples","Italy","Papal States"
"Dante Alighieri","Republic of Florence","Florentine Republic","Papal States"
"Bartolomeo Tortoletti","Republic of Venice","Italy","Papal States"
"Bartolomeo Tortoletti","Verona","Italy","Papal States"
"Dante Alighieri","Florence","Florentine Republic","Papal States"
"Tommaso Stigliani","Matera","Naples","Papal States"
"Tommaso Stigliani","Kingdom of Naples","Naples","Papal States"
"Ion Agârbiceanu","Cenade","Austria-Hungary","Romanian People's Republic"
"Ion Agârbiceanu","Alsó-Fehér County","Austria-Hungary","Romanian People's Republic"
"Ion Agârbiceanu","Lands of the Crown of Saint Stephen","Austria-Hungary","Romanian People's Republic"
"John Quine","German (parish)","Isle of Man","Isle of Man"
"John Quine","Isle of Man","Isle of Man","Isle of Man"
"W. Walter Gill","Isle of Man","Isle of Man","Isle of Man"
"Michael Smith (poet)","Dublin","Irish people","Ireland"
"Michael Smith (poet)","Ireland","Irish people","Ireland"
"Samih al-Qasim","Emirate of Transjordan","Palestinian people","Israel"
"Samih al-Qasim","Zarqa","Palestinian people","Israel"
"Amos Oz","Mandatory Palestine","Israeli nationality law","Israel"
"Amos Oz","Jerusalem","Israeli nationality law","Israel"
"Yehiel De-Nur","Congress Poland","Polish people","Israel"
"Yehiel De-Nur","Congress Poland","Israelis","Israel"
"Yehiel De-Nur","Sosnowiec","Polish people","Israel"
"Yehiel De-Nur","Sosnowiec","Israelis","Israel"
"Nicola Serena di Lapigio","Altamura","Kingdom of Italy","Italy"
"Nicola Serena di Lapigio","Italy","Kingdom of Italy","Italy"
"Dietrich Gruen","Germany","German American","Italy"
"Teofil Lenartowicz","Warsaw","Poland","Italy"
"Dietrich Gruen","Osthofen","German American","Italy"
"Dietrich Gruen","Grand Duchy of Hesse","German American","Italy"
"Teofil Lenartowicz","Poland","Poland","Italy"
"Maria Luisa Altieri Biagi","Venice","Italian people","Italy"
"Maria Antonia Scalera Stellini","Acquaviva delle Fonti","Italy","Italy"
"Maria Antonia Scalera Stellini","Italy","Italy","Italy"
"Maria Luisa Altieri Biagi","Kingdom of Italy","Italian people","Italy"
"Ryō Hanmura","Japan","Japanese people","Japan"
"Ryō Hanmura","Tatsuno, Hyōgo","Japanese people","Japan"
"Yutaka Haniya","Hsinchu","Japanese people","Japan"
"Yutaka Haniya","Empire of Japan","Japanese people","Japan"
"Yutaka Haniya","Taiwan","Japanese people","Japan"
"Jean Pliya","Benin","Beninese","Ivory Coast"
"Jean Pliya","Djougou","Beninese","Ivory Coast"
"Personal life of Cicero","Italy","Ancient Rome","Italy"
"Political career of Cicero","Italy","Ancient Rome","Italy"
"Writings of Cicero","Italy","Ancient Rome","Italy"
"Personal life of Cicero","Arpinum","Ancient Rome","Italy"
"Writings of Cicero","Arpinum","Ancient Rome","Italy"
"Political career of Cicero","Arpinum","Ancient Rome","Italy"
"Lü Bicheng","Qing dynasty","Republic of China (1912–1949)","Japanese occupation of Hong Kong"
"Lü Bicheng","Taiyuan","Republic of China (1912–1949)","Japanese occupation of Hong Kong"
"Lü Bicheng","Shanxi","Republic of China (1912–1949)","Japanese occupation of Hong Kong"
"Seiichi Niikuni","Japan","Japanese people","Japan"
"Seiichi Niikuni","Sendai","Japanese people","Japan"
"Hossein Monzavi","Zanjan, Iran","Iranian peoples","Tehran, Iran"
"Jordán Bruno Genta","Buenos Aires","Argentine","Argentina"
"Humberto Costantini","Buenos Aires","Argentinian","Argentina"
"Conrado Nalé Roxlo","Buenos Aires","Argentina","Argentina"
"Vicente Medina","Archena","Spain","Argentina"
"Humberto Costantini","Argentina","Argentinian","Argentina"
"Conrado Nalé Roxlo","Argentina","Argentina","Argentina"
"Jordán Bruno Genta","Argentina","Argentine","Argentina"
"Vicente Medina","Spain","Spain","Argentina"
"Enrique Anderson Imbert","Córdoba, Argentina","Argentina","Argentina"
"Enrique Anderson Imbert","Argentina","Argentina","Argentina"
"Alfonsina Storni","Sala Capriasca","Argentine","Argentina"
"Alfonsina Storni","Switzerland","Argentine","Argentina"
"Jacinto Grau","Barcelona","Catalans","Argentina"
"Marta Lynch","Buenos Aires","Argentine","Argentina"
"Marta Lynch","Argentina","Argentine","Argentina"
"Jacinto Grau","Spain","Catalans","Argentina"
"Aramashot Papayan","Batumi","Armenians","Armenia"
"Hovhannes Hovhannisyan","Vagharshapat","Armenians","Armenian Soviet Socialist Republic"
"Sero Khanzadyan","Russian Empire","Armenians","Armenia"
"Hovhannes Hovhannisyan","Russian Empire","Armenians","Armenian Soviet Socialist Republic"
"Hrachya Kochar","Erzurum vilayet","Armenians","Armenian Soviet Socialist Republic"
"Sero Khanzadyan","Goris","Armenians","Armenia"
"Vaghinag Bekaryan","Turkey","Armenians","Armenia"
"Aramashot Papayan","Adjara","Armenians","Armenia"
"Hovhannes Hovhannisyan","Erivan Governorate","Armenians","Armenian Soviet Socialist Republic"
"Hrachya Kochar","Ottoman Empire","Armenians","Armenian Soviet Socialist Republic"
"Sipan Shiraz","Armenia","Armenians","Armenia"
"Nado Makhmudov","Armenia","Armenian SSR","Armenia"
"Nado Makhmudov","Martuni, Armenia","Armenian SSR","Armenia"
"Sipan Shiraz","Yerevan","Armenians","Armenia"
"Sero Khanzadyan","Elisabethpol Governorate","Armenians","Armenia"
"Rafael Papayan","Soviet Armenia","Armenians","Armenia"
"David F. Musto","United States","People of the United States","China"
"Mei Zhi","Nanchang","China","China"
"David F. Musto","Washington (state)","People of the United States","China"
"Mei Zhi","Jiangxi","China","China"
"David F. Musto","Tacoma, Washington","People of the United States","China"
"Mei Zhi","Republic of China (1912–49)","China","China"
"Eduardo de la Barra","Santiago","Chileans","Chile"
"Eduardo de la Barra","Chile","Chileans","Chile"
"Kulap Saipradit","Bangkok","Thailand","China"
"Kulap Saipradit","Siam","Thailand","China"
"Magzhan Zhumabayev","Russian Empire","Kazakhs","Kazakh Soviet Socialist Republic"
"Magzhan Zhumabayev","Akmolinsk Oblast","Kazakhs","Kazakh Soviet Socialist Republic"
"Hryhorii Epik","Ukraine","Ukrainians","Karelian Autonomous Soviet Socialist Republic"
"Hryhorii Epik","Russian Empire","Ukrainians","Karelian Autonomous Soviet Socialist Republic"
"Jacob Eichenbaum","Russian Empire","Galician Jews","Kiev Governorate"
"Jacob Eichenbaum","Volhynian Governorate","Galician Jews","Kiev Governorate"
"Jacob Eichenbaum","Chervonohrad","Galician Jews","Kiev Governorate"
"Sami Ibrahim Haddad","Jaffa","Lebanon","Lebanon"
"Reinis Kaudzīte","Russian Empire","Latvian people","Latvia"
"Edvarts Virza","Russian empire","Latvian people","Latvia"
"Reinis Kaudzīte","Governorate of Livonia","Latvian people","Latvia"
"May Murr","Greater Lebanon","Lebanese people","Lebanon"
"Cassius Dio","İznik","Roman Empire","Bithynia"
"May Murr","Bteghrine","Lebanese people","Lebanon"
"Cassius Dio","Turkey","Roman Empire","Bithynia"
"Sami Ibrahim Haddad","Palestine (region)","Lebanon","Lebanon"
"Edvarts Virza","Jelgava Municipality","Latvian people","Latvia"
"Edvarts Virza","Latvia","Latvian people","Latvia"
"Pēters Brūveris","Latvian SSR","Latvian people","Latvia"
"Antons Kūkojs","Latvian Soviet Socialist Republic","Latvians","Latvia"
"Cassius Dio","Bithynia","Roman Empire","Bithynia"
"Reinis Kaudzīte","Kreis Wenden","Latvian people","Latvia"
"Cassius Dio","Nicaea","Roman Empire","Bithynia"
"Antons Kūkojs","Nautrēni Parish","Latvians","Latvia"
"Reinis Kaudzīte","Vecpiebalga Parish","Latvian people","Latvia"
"Edvarts Virza","Salgale Parish","Latvian people","Latvia"
"Pēters Brūveris","Rīga","Latvian people","Latvia"
"Ardashes Der-Khachadourian","Beit Mery","Armenians","Lebanon"
"Youssef Howayek","Mount Lebanon Mutasarrifate","Lebanese people","Lebanon"
"Youssef Howayek","Helta","Lebanese people","Lebanon"
"Jānis Sudrabkalns","Inčukalns","Latvian people","Latvian SSR"
"Ardashes Der-Khachadourian","Lebanon","Armenians","Lebanon"
"Jānis Sudrabkalns","Government of Livland","Latvian people","Latvian SSR"
"Richard McDonald Caunter","Penang","British people","Sussex"
"Richard McDonald Caunter","Presidencies and provinces of British India","British people","Sussex"
"Amelia Perrier","Cork (city)","United Kingdom of Great Britain and Ireland","Sussex"
"Hugh de Sélincourt","England","England","Sussex"
"Hugh de Sélincourt","London","England","Sussex"
"Hugh de Sélincourt","Hampstead","England","Sussex"
"Angus MacPhail","United Kingdom","English people","Sussex"
"Angus MacPhail","England","English people","Sussex"
"Angus MacPhail","London","English people","Sussex"
"Frans Hedberg","Stockholm","Swedes","Sweden"
"Lennart Hellsing","Västmanland County","Sweden","Sweden"
"Lennart Hellsing","Sweden","Sweden","Sweden"
"Frans Hedberg","Sweden","Swedes","Sweden"
"Lennart Hellsing","Västanfors","Sweden","Sweden"
"Gunnar Ekelöf","Stockholm","Sweden","Sweden"
"Gunnar Ekelöf","Sweden","Sweden","Sweden"
"Anders Nygren","Gothenburg","Swedes","Sweden"
"Anders Nygren","Sweden","Swedes","Sweden"
"Sylvia Thompson","Scotland","England","Surrey"
"Marie Under","Reval","Estonians","Sweden"
"Marie Under","Russian Empire","Estonians","Sweden"
"Marie Under","Governorate of Estonia","Estonians","Sweden"
"Marie Under","Estonia","Estonians","Sweden"
"Kārlis Skalbe","Russian empire","Latvian people","Sweden"
"Kārlis Skalbe","Vecpiebalga parish","Latvian people","Sweden"
"Julius Meier-Graefe","Romania","Germany","Switzerland"
"Julius Meier-Graefe","Romania","Hungarian German","Switzerland"
"Josef Ackermann (journalist)","Germany","Germany","Switzerland"
"Josef Ackermann (journalist)","Munich","Germany","Switzerland"
"Carl Spitteler","Liestal","Switzerland","Switzerland"
"Joseph Balmer","Lucerne","Switzerland","Switzerland"
"Julius Meier-Graefe","Banat","Hungarian German","Switzerland"
"Julius Meier-Graefe","Banat","Germany","Switzerland"
"Joseph Balmer","Ebikon","Switzerland","Switzerland"
"Julius Meier-Graefe","Lands of the Crown of Saint Stephen","Germany","Switzerland"
"Julius Meier-Graefe","Lands of the Crown of Saint Stephen","Hungarian German","Switzerland"
"Joseph Balmer","Switzerland","Switzerland","Switzerland"
"Carl Spitteler","Switzerland","Switzerland","Switzerland"
"Julius Meier-Graefe","Krassó-Szörény County","Hungarian German","Switzerland"
"Julius Meier-Graefe","Krassó-Szörény County","Germany","Switzerland"
"Julius Meier-Graefe","Imperial and Royal","Germany","Switzerland"
"Julius Meier-Graefe","Imperial and Royal","Hungarian German","Switzerland"
"Meinrad Lienert","Einsiedeln","Switzerland","Switzerland"
"Meinrad Lienert","Switzerland","Switzerland","Switzerland"
"Mamdouh Adwan","Qayrun","Syrian","Syria"
"Walter Mehring","Berlin","United States","Switzerland"
"Walter Mehring","Berlin","Germany","Switzerland"
"Walter Mehring","Germany","Germany","Switzerland"
"Walter Mehring","Germany","United States","Switzerland"
"Mamdouh Adwan","Hama","Syrian","Syria"
"Mamdouh Adwan","Syria","Syrian","Syria"
"Albert Thibaudet","Saône-et-Loire","France","Switzerland"
"Celadet Alî Bedirxan","Constantinople","Kurdistan","Syria"
"Albert Thibaudet","Tournus","France","Switzerland"
"Albert Thibaudet","France","France","Switzerland"
"Celadet Alî Bedirxan","Ottoman Empire","Kurdistan","Syria"
"Oscar Peer","Lavin","Switzerland","Switzerland"
"Oscar Peer","Switzerland","Switzerland","Switzerland"
"Youssef Halaq","Mandatory Syrian Republic","Syrians","Syria"
"Youssef Halaq","Yabroud","Syrians","Syria"
"Masoud Juni","Mashqita","Syrians","Syria"
"Masoud Juni","Mandatory Syrian Republic","Syrians","Syria"
"Yu Youren","Qing dynasty","Republic of China","Taiwan"
"Yu Youren","Sanyuan County","Republic of China","Taiwan"
"Luo Fu (poet)","Hunan","Republic of China","Taiwan"
"Yu Kwang-chung","Republic of China (1912–1949)","Nationality law of the Republic of China","Taiwan"
"Luo Fu (poet)","Republic of China (1912–1949)","Republic of China","Taiwan"
"Gu Long","British Hong Kong","Republic of China","Taiwan"
"Chou Meng-tieh","Henan","Republic of China","Taiwan"
"Luo Fu (poet)","Hengyang","Republic of China","Taiwan"
"Yu Kwang-chung","Nanjing","Nationality law of the Republic of China","Taiwan"
"Yu Youren","Shaanxi","Republic of China","Taiwan"
"Chou Meng-tieh","Xichuan County","Republic of China","Taiwan"
"Nuryn Sanlley","Santo Domingo","Dominican people (Dominican Republic)","Dominican Republic"
"Eugenio María de Hostos","Mayagüez, Puerto Rico","Puerto Rican citizenship","Dominican Republic"
"Arthur Law (playwright)","England","United Kingdom","Dorset"
"Arthur Law (playwright)","Norfolk","United Kingdom","Dorset"
"Arthur Law (playwright)","Northrepps","United Kingdom","Dorset"
"Nuryn Sanlley","Dominican Republic","Dominican people (Dominican Republic)","Dominican Republic"
"Roman Pisarski","Ukraine","Poles","Polish People's Republic"
"Mikołaj Rej","Ukraine","Poles","Polish–Lithuanian Commonwealth"
"Mikołaj Rej","Zhuravno","Poles","Polish–Lithuanian Commonwealth"
"Roman Pisarski","Austria-Hungary","Poles","Polish People's Republic"
"Mikołaj Rej","Kingdom of Poland (1385–1569)","Poles","Polish–Lithuanian Commonwealth"
"Julian Przyboś","Austria-Hungary","Poles","Polish People's Republic"
"Julian Przyboś","Gwoźnica Górna","Poles","Polish People's Republic"
"Anna Myszyńska","Upper Silesia","Silesians","Poland"
"Lucjan Wolanowski","Warsaw","Poland","Poland"
"Andrzej Szczypiorski","Warsaw","Poland","Poland"
"Anna Myszyńska","Weimar Republic","Silesians","Poland"
"Lucjan Wolanowski","Poland","Poland","Poland"
"Andrzej Szczypiorski","Poland","Poland","Poland"
"Anna Myszyńska","Kórnica","Silesians","Poland"
"Andrzej Strug","Congress Poland","Polish people","Poland"
"Andrzej Kijowski","Cracow","Polish nationality law","Poland"
"Leopold Staff","Lemberg","Polish people","Poland"
"Andrzej Strug","Lublin","Polish people","Poland"
"Andrzej Kijowski","Poland","Polish nationality law","Poland"
"Leopold Staff","Austrian partition","Polish people","Poland"
"Wilhelm Szewczyk","Province of Silesia","Poles","Poland"
"Fernando Pessoa","Lisbon","Portuguese people","Portugal"
"Janusz Zajdel","Warsaw","Poland","Poland"
"Wilhelm Szewczyk","Czerwionka-Leszczyny","Poles","Poland"
"Fernando Pessoa","Kingdom of Portugal","Portuguese people","Portugal"
"Janusz Zajdel","Second Polish Republic","Poland","Poland"
"Janusz Meissner","Russian Empire","Polish people","Poland"
"Janusz Meissner","Warsaw","Polish people","Poland"
"Konstanty Ildefons Gałczyński","Vistula Land","Poland","Polish People's Republic"
"Pola Gojawiczyńska","Congress Poland","Poles","Poland"
"Konstanty Ildefons Gałczyński","Russian Empire","Poland","Polish People's Republic"
"Dmitry Filosofov","Russian Empire","Russians","Poland"
"Dmitry Filosofov","Saint Petersburg","Russians","Poland"
"Konstanty Ildefons Gałczyński","Warsaw","Poland","Polish People's Republic"
"Pola Gojawiczyńska","Warsaw","Poles","Poland"
"Manuel Maria Barbosa du Bocage","Portugal","Portuguese people","Portugal"
"Manuel Maria Barbosa du Bocage","Setúbal","Portuguese people","Portugal"
"Władysław Orkan","Austria-Hungary","Gorals","Poland"
"Władysław Orkan","Austria-Hungary","Poland","Poland"
"Władysław Orkan","Poręba Wielka, Limanowa County","Gorals","Poland"
"Władysław Orkan","Poręba Wielka, Limanowa County","Poland","Poland"
"Sarah Goldblatt","United Kingdom","South African people","South Africa"
"Sarah Goldblatt","London","South African people","South Africa"
"Camil Petrescu","Bucharest","Romanians","Socialist Republic of Romania"
"Camil Petrescu","Kingdom of Romania","Romanians","Socialist Republic of Romania"
"Chris Mann (poet)","Cape Province","South African citizenship","South Africa"
"Skender Kulenović","Bosanski Petrovac","Yugoslavia","Socialist Republic of Serbia"
"Skender Kulenović","Bosanski Petrovac","Austria-Hungary","Socialist Republic of Serbia"
"Skender Kulenović","Bosanski Petrovac","Austria-Hungary","Socialist Federal Republic of Yugoslavia"
"Skender Kulenović","Bosanski Petrovac","Yugoslavia","Socialist Federal Republic of Yugoslavia"
"Chris Mann (poet)","Union of South Africa","South African citizenship","South Africa"
"Miroslav Feldman","Virovitica","Croats","Socialist Federal Republic of Yugoslavia"
"Miroslav Feldman","Virovitica","Croats","Socialist Republic of Croatia"
"Miodrag Bulatović","Zeta Banovina","Montenegrins (ethnic group)","Socialist Republic of Montenegro"
"Miodrag Bulatović","Zeta Banovina","Montenegrins (ethnic group)","Socialist Federal Republic of Yugoslavia"
"Skender Kulenović","Austria-Hungary","Yugoslavia","Socialist Federal Republic of Yugoslavia"
"Sida Košutić","Austria-Hungary","Croat","Socialist Federal Republic of Yugoslavia"
"Miroslav Feldman","Austria-Hungary","Croats","Socialist Federal Republic of Yugoslavia"
"Skender Kulenović","Austria-Hungary","Austria-Hungary","Socialist Federal Republic of Yugoslavia"
"Miroslav Feldman","Austria-Hungary","Croats","Socialist Republic of Croatia"
"Skender Kulenović","Austria-Hungary","Austria-Hungary","Socialist Republic of Serbia"
"Skender Kulenović","Austria-Hungary","Yugoslavia","Socialist Republic of Serbia"
"Sida Košutić","Austria-Hungary","Croat","Socialist Republic of Croatia"
"Skender Kulenović","Austro-Hungarian rule in Bosnia and Herzegovina","Austria-Hungary","Socialist Federal Republic of Yugoslavia"
"Skender Kulenović","Austro-Hungarian rule in Bosnia and Herzegovina","Yugoslavia","Socialist Federal Republic of Yugoslavia"
"Skender Kulenović","Austro-Hungarian rule in Bosnia and Herzegovina","Austria-Hungary","Socialist Republic of Serbia"
"Skender Kulenović","Austro-Hungarian rule in Bosnia and Herzegovina","Yugoslavia","Socialist Republic of Serbia"
"George Bacovia","Bacău","Romanians","Socialist Republic of Romania"
"Chris Mann (poet)","Port Elizabeth","South African citizenship","South Africa"
"Miroslav Feldman","Kingdom of Croatia-Slavonia","Croats","Socialist Federal Republic of Yugoslavia"
"Sida Košutić","Kingdom of Croatia-Slavonia","Croat","Socialist Republic of Croatia"
"Miroslav Feldman","Kingdom of Croatia-Slavonia","Croats","Socialist Republic of Croatia"
"Sida Košutić","Kingdom of Croatia-Slavonia","Croat","Socialist Federal Republic of Yugoslavia"
"George Bacovia","Kingdom of Romania","Romanians","Socialist Republic of Romania"
"Miodrag Bulatović","Kingdom of Yugoslavia","Montenegrins (ethnic group)","Socialist Federal Republic of Yugoslavia"
"Miodrag Bulatović","Kingdom of Yugoslavia","Montenegrins (ethnic group)","Socialist Republic of Montenegro"
